date,Trust_Raw
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
2020-04-01, 
